Year,State,Item,Amount
2018,OR,Federal_Funds_Authorized,5362981
2018,OR,State_Matching_Required,268149.05
2018,OR,Total_Fed_Plus_State_Funds,5631130.05
2018,PA,Federal_Funds_Authorized,13476156
2018,PA,State_Matching_Required,673807.8
2018,PA,Total_Fed_Plus_State_Funds,14149963.8
2018,PR,Federal_Funds_Authorized,3676962
2018,PR,State_Matching_Required,183848.1
2018,PR,Total_Fed_Plus_State_Funds,3860810.1
2018,RI,Federal_Funds_Authorized,3000000
2018,RI,State_Matching_Required,150000
2018,RI,Total_Fed_Plus_State_Funds,3150000
2018,SC,Federal_Funds_Authorized,6040794
2018,SC,State_Matching_Required,302039.7
2018,SC,Total_Fed_Plus_State_Funds,6342833.7
2018,SD,Federal_Funds_Authorized,3000000
2018,SD,State_Matching_Required,150000
2018,SD,Total_Fed_Plus_State_Funds,3150000
2018,TN,Federal_Funds_Authorized,7565418
2018,TN,State_Matching_Required,378270.9
2018,TN,Total_Fed_Plus_State_Funds,7943688.9
2018,TX,Federal_Funds_Authorized,23252604
2018,TX,State_Matching_Required,1162630.2
2018,TX,Total_Fed_Plus_State_Funds,24415234.2
2018,UT,Federal_Funds_Authorized,4111052
2018,UT,State_Matching_Required,205552
2018,UT,Total_Fed_Plus_State_Funds,4316604.6
2018,VA,Federal_Funds_Authorized,9080731
2018,VA,State_Matching_Required,454036.55
2018,VA,Total_Fed_Plus_State_Funds,9534767.55
2018,VI,Federal_Funds_Authorized,600000
2018,VI,State_Matching_Required,0
2018,VI,Total_Fed_Plus_State_Funds,600000
2018,VT,Federal_Funds_Authorized,3000000
2018,VT,State_Matching_Required,150000
2018,VT,Total_Fed_Plus_State_Funds,3150000
2018,WA,Federal_Funds_Authorized,7907768
2018,WA,State_Matching_Required,395388.4
2018,WA,Total_Fed_Plus_State_Funds,8303156.4
2018,WI,Federal_Funds_Authorized,6978318
2018,WI,State_Matching_Required,348915.9
2018,WI,Total_Fed_Plus_State_Funds,7327233.9
2018,WV,Federal_Funds_Authorized,3611943
2018,WV,State_Matching_Required,180597.15
2018,WV,Total_Fed_Plus_State_Funds,3792540.15
2018,WY,Federal_Funds_Authorized,3000000
2018,WY,State_Matching_Required,150000
2018,WY,Total_Fed_Plus_State_Funds,3150000
2020,AK,Federal_Funds_Authorized,3000000
2020,AK,State_Matching_Required,600000
2020,AK,Total_Fed_Plus_State_Funds,3600000
2020,AL,Federal_Funds_Authorized,6928023
2020,AL,State_Matching_Required,1385604.57
2020,AL,Total_Fed_Plus_State_Funds,8313627.43
2020,AR,Federal_Funds_Authorized,5027985
2020,AR,State_Matching_Required,1005596.98
2020,AR,Total_Fed_Plus_State_Funds,6033581.9
2020,AS,Federal_Funds_Authorized,600000
2020,AS,State_Matching_Required,0
2020,AS,Total_Fed_Plus_State_Funds,600000
2020,AZ,Federal_Funds_Authorized,8397299
2020,AZ,State_Matching_Required,1679459.82
2020,AZ,Total_Fed_Plus_State_Funds,10076758.93
2020,CA,Federal_Funds_Authorized,38943512
2020,CA,State_Matching_Required,7788702.43
2020,CA,Total_Fed_Plus_State_Funds,46732214.59
2020,CO,Federal_Funds_Authorized,7133864
2020,CO,State_Matching_Required,1426772.85
2020,CO,Total_Fed_Plus_State_Funds,8560637.08
2020,CT,Federal_Funds_Authorized,5755744
2020,CT,State_Matching_Required,1151148.73
2020,CT,Total_Fed_Plus_State_Funds,6906892.39
2020,DC,Federal_Funds_Authorized,3036503
2020,DC,State_Matching_Required,607300.58
2020,DC,Total_Fed_Plus_State_Funds,3643803.47
2020,DE,Federal_Funds_Authorized,3000000
2020,DE,State_Matching_Required,600000
2020,DE,Total_Fed_Plus_State_Funds,3600000
2020,FL,Federal_Funds_Authorized,21613782
2020,FL,State_Matching_Required,4322756.44
2020,FL,Total_Fed_Plus_State_Funds,25936538.65
2020,GA,Federal_Funds_Authorized,11601395
2020,GA,State_Matching_Required,2320279
2020,GA,Total_Fed_Plus_State_Funds,13921674.01
2020,GU,Federal_Funds_Authorized,600000
2020,GU,State_Matching_Required,0
2020,GU,Total_Fed_Plus_State_Funds,600000
2020,HI,Federal_Funds_Authorized,3516260
2020,HI,State_Matching_Required,703252.08
2020,HI,Total_Fed_Plus_State_Funds,4219512.46
2020,IA,Federal_Funds_Authorized,5178002
2020,IA,State_Matching_Required,1035600.49
2020,IA,Total_Fed_Plus_State_Funds,6213602.96
2020,ID,Federal_Funds_Authorized,3624280
2020,ID,State_Matching_Required,724856.01
2020,ID,Total_Fed_Plus_State_Funds,4349136.04
2020,IL,Federal_Funds_Authorized,14900641
2020,IL,State_Matching_Required,2980128.14
2020,IL,Total_Fed_Plus_State_Funds,17880768.84
2020,IN,Federal_Funds_Authorized,8545449
2020,IN,State_Matching_Required,1709089.86
2020,IN,Total_Fed_Plus_State_Funds,10254539.18
2020,KS,Federal_Funds_Authorized,4924921
2020,KS,State_Matching_Required,984984.14
2020,KS,Total_Fed_Plus_State_Funds,5909904.83
2020,KY,Federal_Funds_Authorized,6491766
2020,KY,State_Matching_Required,1298353.17
2020,KY,Total_Fed_Plus_State_Funds,7790119
2020,LA,Federal_Funds_Authorized,6622612
2020,LA,State_Matching_Required,1324522.45
2020,LA,Total_Fed_Plus_State_Funds,7947134.7
2020,MA,Federal_Funds_Authorized,8878886
2020,MA,State_Matching_Required,1775777.15
2020,MA,Total_Fed_Plus_State_Funds,10654662.9
2020,MD,Federal_Funds_Authorized,7946380
2020,MD,State_Matching_Required,1589275.99
2020,MD,Total_Fed_Plus_State_Funds,9535655.94
2020,ME,Federal_Funds_Authorized,3512764
2020,ME,State_Matching_Required,702553.05
2020,ME,Total_Fed_Plus_State_Funds,4206142
2020,MI,Federal_Funds_Authorized,12053705
2020,MI,State_Matching_Required,2410740.96
2020,MI,Total_Fed_Plus_State_Funds,14464445.76
2020,MN,Federal_Funds_Authorized,7418672
2020,MN,State_Matching_Required,1483734.45
2020,MN,Total_Fed_Plus_State_Funds,8902406.71
2020,MO,Federal_Funds_Authorized,8134566
2020,MO,State_Matching_Required,1626913.18
2020,MO,Total_Fed_Plus_State_Funds,9761479.1
2020,MS,Federal_Funds_Authorized,5037597
2020,MS,State_Matching_Required,1007519.36
2020,MS,Total_Fed_Plus_State_Funds,6045116.18
